firstName,lastName,email,uin,year,major,gpa,status
Nicholas,Tann,ntann3012@gmail.com,626001149,2021,CEEN,3.0,Good Standing
Jonothan,Joestar,jojo@tamu.edu,989338351,1988,CSCE,2.15,Good Standing
Horrible,Rick,jaja@tamu.edu,192875301,2024,MECH,1.98,Bad Standing
enter first name,enter last name,email,101010101,2020,major,4.0,Good Standing
Nicholas,Tann,bb@tamu.edu,101010199,2040,MECH,3.33,Good Standing
Chuck,Esedebe,cce0359@tamu.edu,123456789,2021,CPSC,0.0,Good Standing
John,Doe,jd@tamu.edu,101010101,2020,ELEN,4.0,Good Standing
qwe,wqe,wqe,21321,213,dqwee,0.0,Good Standing
enter first name,enter last name,email,101010101,2020,major,4.0,Good Standing
enter first name,enter last name,email,101010101,2020,major,4.0,Good Standing
